id;total_personas;personas15_65;personas65;padron;long;lat;urbano
334;195;127;4;131;-70,79250446;-33,50486152;1
335;57;32;13;45;-70,74513339;-33,50513485;1
336;69;47;13;60;-70,77147885;-33,50481965;1
337;28;21;0;21;-70,74042229;-33,50508477;1
338;106;80;0;80;-70,79348986;-33,50433336;1
339;65;41;0;41;-70,79215693;-33,5043209;1
340;249;143;67;210;-70,74022542;-33,50563143;1
341;48;27;11;38;-70,74339304;-33,50521622;1
342;59;43;13;56;-70,77757699;-33,50488781;1
343;89;64;12;76;-70,76939796;-33,50474894;1
344;64;34;21;55;-70,73841852;-33,50519021;1
345;85;54;6;60;-70,78142057;-33,5047796;1
346;104;69;0;69;-70,78099775;-33,50482739;1
347;161;118;0;118;-70,79398304;-33,50522701;1
348;67;46;6;52;-70,77260824;-33,50504691;1
349;112;81;0;81;-70,79338413;-33,50460488;1
350;120;83;21;104;-70,77606802;-33,50497383;1
351;50;36;0;36;-70,77449231;-33,50491047;1
352;44;30;0;30;-70,79213474;-33,5045998;1
353;37;22;8;30;-70,77714983;-33,50501563;1
354;71;41;16;57;-70,73851456;-33,50547687;1
355;43;26;11;37;-70,75073989;-33,50552736;1
356;193;138;0;138;-70,79473385;-33,50545309;1
357;102;75;0;75;-70,79329776;-33,50486937;1
358;172;112;23;135;-70,74219828;-33,50591525;1
359;191;141;4;145;-70,79508409;-33,50545527;1
360;61;41;12;53;-70,77216873;-33,50540085;1
361;109;72;14;86;-70,7763158;-33,50543603;1
362;69;47;12;59;-70,76939992;-33,50526002;1
363;28;16;0;16;-70,79209638;-33,50502442;0
364;77;53;13;66;-70,77130694;-33,50556245;1
365;228;164;5;169;-70,79535149;-33,50564611;1
366;58;35;12;47;-70,73861668;-33,5057682;1
367;153;121;0;121;-70,79567038;-33,50570315;1
368;82;61;15;76;-70,74631185;-33,50628361;1
369;250;189;14;203;-70,78527066;-33,50536006;1
370;96;68;7;75;-70,79319484;-33,50513081;1
371;449;299;12;311;-70,79738152;-33,50600221;1
372;93;53;29;82;-70,75240211;-33,50625194;1
373;153;124;11;135;-70,77029658;-33,48934571;1
374;307;188;51;239;-70,75438239;-33,50590937;1
375;78;54;22;76;-70,75609896;-33,50618016;1
376;62;32;22;54;-70,74535524;-33,50609857;1
377;151;111;18;129;-70,74042952;-33,50621458;1
378;39;30;6;36;-70,75816118;-33,50625493;1
379;81;47;24;71;-70,75947589;-33,50626157;1
380;60;41;8;49;-70,74861689;-33,5060908;1
381;100;64;14;78;-70,76094725;-33,50587408;1
382;90;51;25;76;-70,77794787;-33,50582188;1
383;88;54;17;71;-70,7763041;-33,50583848;1
384;174;120;23;143;-70,7389586;-33,50675145;1
385;201;122;51;173;-70,7628797;-33,50628776;1
386;170;116;21;137;-70,76487436;-33,50628403;1
387;78;55;11;66;-70,75164405;-33,50633829;1
388;112;80;0;80;-70,79309936;-33,50538805;1
389;18;12;4;16;-70,77193832;-33,50582087;0
390;177;108;31;139;-70,7661581;-33,50628734;1
391;140;92;33;125;-70,76686302;-33,50630459;1
392;169;117;22;139;-70,76758672;-33,50630994;1
393;113;76;17;93;-70,76834252;-33,50631778;1
394;87;62;0;62;-70,76939831;-33,50578728;1
395;326;221;38;259;-70,74299377;-33,50673769;1
396;82;58;11;69;-70,77053924;-33,50578633;1
397;129;95;8;103;-70,78961822;-33,50601183;1
398;160;118;5;123;-70,78929544;-33,50603477;1
399;142;104;7;111;-70,78994202;-33,5059954;1
400;63;43;0;43;-70,75067773;-33,50645142;1
401;169;111;15;126;-70,74251744;-33,50637791;1
402;119;92;10;102;-70,78339302;-33,50620778;1
403;122;96;0;96;-70,78897582;-33,50607803;1
404;52;44;0;44;-70,7902255;-33,50572908;1
405;142;95;15;110;-70,77520223;-33,50621052;1
406;136;99;4;103;-70,78865905;-33,50612708;1
407;51;42;0;42;-70,79055201;-33,50572947;1
408;146;114;11;125;-70,78298243;-33,50631392;1
409;68;55;0;55;-70,79584893;-33,50612039;1
410;22;15;0;15;-70,79093453;-33,50570046;0
411;61;30;23;53;-70,77748729;-33,50604143;1
412;85;58;19;77;-70,7770517;-33,5060961;1
413;32;21;8;29;-70,74555186;-33,50645307;1
414;104;84;5;89;-70,78834148;-33,50618071;1
415;58;36;17;53;-70,74460365;-33,50667151;1
416;141;110;6;116;-70,78260928;-33,50642139;1
417;127;86;13;99;-70,77656338;-33,50623987;1
418;155;126;13;139;-70,78223784;-33,50652158;1
419;266;203;10;213;-70,78804676;-33,50627713;1
420;1469;1075;87;1162;-70,74857943;-33,50836432;1
421;302;229;15;244;-70,79166546;-33,50678406;1
422;137;106;15;121;-70,78186355;-33,50661834;1
423;97;61;13;74;-70,74115957;-33,50662488;1
424;49;22;11;33;-70,74408441;-33,50679087;1
425;180;135;10;145;-70,78483797;-33,50621404;1
426;165;122;18;140;-70,78149979;-33,50673077;1
427;63;51;0;51;-70,7921618;-33,50602591;1
428;170;133;10;143;-70,7811093;-33,50681592;1
429;84;63;8;71;-70,76940035;-33,50631606;1
430;122;82;11;93;-70,78691355;-33,50623922;1
431;39;24;10;34;-70,75439204;-33,50661649;1
432;82;49;20;69;-70,77054377;-33,50631721;1
433;84;58;12;70;-70,77135252;-33,50658062;1
434;87;62;12;74;-70,76092454;-33,50662156;1
435;132;73;38;111;-70,74063649;-33,5071871;1
436;102;65;20;85;-70,77255532;-33,50631271;1
437;131;106;7;113;-70,78055818;-33,50664757;1
438;81;54;10;64;-70,77396916;-33,50632433;1
439;20;13;7;20;-70,74367624;-33,50691044;0
440;531;385;57;442;-70,77966723;-33,5072392;1
441;81;45;21;66;-70,74555522;-33,50684929;1
442;78;60;5;65;-70,79269894;-33,50636703;1
443;45;37;0;37;-70,79052082;-33,50618352;1
444;20;14;0;14;-70,79111375;-33,50634694;0
445;69;48;5;53;-70,79310219;-33,50648052;1
446;862;619;45;664;-70,78523854;-33,50791342;1
447;89;60;14;74;-70,77789686;-33,50690111;1
448;53;38;6;44;-70,7921233;-33,5064405;1
449;103;80;8;88;-70,79386605;-33,50652429;1
450;77;55;0;55;-70,77747754;-33,50697565;1
451;182;138;4;142;-70,78705428;-33,50674945;1
452;176;118;24;142;-70,76991397;-33,50684587;1
453;35;25;0;25;-70,79044515;-33,50646094;1
454;187;130;8;138;-70,77688355;-33,49677135;1
455;160;107;28;135;-70,77254779;-33,50683841;1
456;64;48;9;57;-70,77710626;-33,5070484;1
457;98;60;14;74;-70,77416726;-33,50681357;1
458;31;22;6;28;-70,75041445;-33,50727213;1
459;30;22;0;22;-70,75103607;-33,50726841;1
460;110;66;26;92;-70,7457455;-33,5073206;1
461;16;12;4;16;-70,75172315;-33,50724937;0
462;48;32;11;43;-70,75248483;-33,50737142;1
463;49;35;8;43;-70,77673427;-33,50710932;1
464;56;0;0;0;-70,75397806;-33,50868062;0
465;72;50;11;61;-70,77634934;-33,5072001;1
466;0;0;0;0;-70,78491003;-33,50691478;0
467;128;95;8;103;-70,79500548;-33,50702879;1
468;73;45;13;58;-70,77591772;-33,50723366;1
469;627;402;121;523;-70,74086356;-33,50846992;1
470;55;40;0;40;-70,79101355;-33,50671887;1
471;32;21;7;28;-70,75945086;-33,50742028;1
472;168;103;40;143;-70,7609009;-33,50744253;1
473;646;394;169;563;-70,77392416;-33,50805909;1
474;166;118;21;139;-70,76298019;-33,50748704;1
475;198;154;13;167;-70,78939372;-33,50689364;1
476;121;94;0;94;-70,79371438;-33,50689415;1
